"longitude","latitude","reconstruction_log_probability","percentile"
17.47765369,55.64932413,-2.79588580131531,"75-100"
21.17765369,55.04932413,-5.24354457855225,"25-50"
21.17765369,55.14932413,-5.21728372573853,"25-50"
20.97765369,55.14932413,-5.10650777816772,"25-50"
21.07765369,55.14932413,-5.22895383834839,"25-50"
12.37765369,55.54932413,-2.88411378860474,"75-100"
21.07765369,55.24932413,-5.32315015792847,"25-50"
20.77765369,55.84932413,-3.2357189655304,"75-100"
14.67765369,54.14932413,-3.2991828918457,"75-100"
10.67765369,56.04932413,-3.38217067718506,"50-75"
12.97765369,54.84932413,-3.00378489494324,"75-100"
14.67765369,54.04932413,-4.20817041397095,"50-75"
10.97765369,56.24932413,-4.08413887023926,"50-75"
10.97765369,55.04932413,-3.3746612071991,"50-75"
12.97765369,55.04932413,-2.7380645275116,"75-100"
20.17765369,55.94932413,-3.22946715354919,"75-100"
20.07765369,55.94932413,-3.30483102798462,"75-100"
20.07765369,56.04932413,-3.16891169548035,"75-100"
10.87765369,55.14932413,-2.95340538024902,"75-100"
12.37765369,54.64932413,-3.47168231010437,"50-75"
20.97765369,56.44932413,-4.71232938766479,"25-50"
12.87765369,54.44932413,-3.31597995758057,"75-100"
11.27765369,55.94932413,-2.85150146484375,"75-100"
12.87765369,54.84932413,-2.93114233016968,"75-100"
20.37765369,55.84932413,-5.51710796356201,"0-25"
11.17765369,54.14932413,-4.86981010437012,"25-50"
12.17765369,54.44932413,-4.91424179077148,"25-50"
11.37765369,56.34932413,-3.1220588684082,"75-100"
11.27765369,56.34932413,-3.14680504798889,"75-100"
11.17765369,56.34932413,-5.31080102920532,"25-50"
16.67765369,54.64932413,-4.59105968475342,"25-50"
14.27765369,54.84932413,-4.52824354171753,"25-50"
20.87765369,55.84932413,-3.12529754638672,"75-100"
14.37765369,54.94932413,-2.94119358062744,"75-100"
11.67765369,54.54932413,-2.82355332374573,"75-100"
20.47765369,55.74932413,-3.51626539230347,"50-75"
15.67765369,54.34932413,-3.44932413101196,"50-75"
11.17765369,56.04932413,-3.23084354400635,"75-100"
20.37765369,54.94932413,-2.8501935005188,"75-100"
20.67765369,55.44932413,-3.12862253189087,"75-100"
20.77765369,55.34932413,-2.90533256530762,"75-100"
